PRELIMINARY*********************************************************************
Optical depth (tau) as measured with MSL Mastcam by Mark Lemmon, MLemmon@SpaceScience.org
Cite Lemmon et al. [2019]
Generated: Tue Sep 21 16:29:08 2021
(Values of -1 indicate absence of validated data)
Lines of data in this table:         1459
PRELIMINARY*********************************************************************
                    Product_ID,      Sol,   L_s,   tau, sigma, tau_noon
0033ML0000080050100878D01_DXXX,  33.5036, 168.5, 0.725, 0.036, 0.726
0033ML0000090050100883D01_DXXX,  33.6703, 168.6, 0.711, 0.035, 0.732
0037ML0000990110100922L01_DXXX,  37.6346, 170.9, 0.746, 0.036, 0.763
0037ML0000990110101305L01_DXXX,  37.6361, 170.9, 0.756, 0.036, 0.773
0042ML0001810030101350K00_DXXX,  42.2605, 173.5, 0.673, 0.035, 0.650
0042ML0001810030101400K00_DXXX,  42.2616, 173.5, 0.675, 0.035, 0.651
0042ML0001810030101500K00_DXXX,  42.2639, 173.5, 0.672, 0.035, 0.649
0042ML0001810030101589K00_DXXX,  42.2660, 173.5, 0.666, 0.035, 0.642
0042ML0001830110101591K00_DXXX,  42.5287, 173.6, 0.711, 0.036, 0.714
0042ML0001830110101825D01_DXXX,  42.5305, 173.6, 0.713, 0.036, 0.717
0042ML0001830110101995D01_DXXX,  42.5318, 173.6, 0.710, 0.036, 0.714
0042ML0001830110102054K00_DXXX,  42.5322, 173.6, 0.708, 0.036, 0.712
0044ML0002030050102077D01_DXXX,  44.2771, 174.6, 0.704, 0.036, 0.681
0048ML0002140050102099D01_DXXX,  48.5047, 177.0, 0.810, 0.037, 0.810
0048ML0002180050102102D01_DXXX,  48.6711, 177.1, 0.848, 0.036, 0.869
0056ML0002590050102285D01_DXXX,  56.5841, 181.7, 0.724, 0.037, 0.734
0056ML0002600050102287D01_DXXX,  56.6588, 181.8, 0.694, 0.036, 0.714
0066ML0002940050102440D01_DXXX,  66.4048, 187.5, 0.768, 0.036, 0.756
0066ML0002950050102442D01_DXXX,  66.5051, 187.5, 0.715, 0.037, 0.716
0066ML0002980050102525D01_DXXX,  66.6719, 187.6, 0.642, 0.036, 0.664
0071ML0004960030102570D01_DXXX,  71.5550, 190.5, 0.741, 0.037, 0.748
0076ML0005700030102704D01_DXXX,  76.5974, 193.6, 0.759, 0.037, 0.771
0087ML0006110030102895D01_DXXX,  87.6786, 200.3, 0.642, 0.036, 0.664
0097ML0004890030102943C00_DXXX,  97.5465, 206.4, 0.858, 0.037, 0.864
0100ML0004900030102960C00_DXXX, 100.5237, 208.2, 1.233, 0.037, 1.236
0101ML0006710030102998D01_DXXX, 101.5200, 208.8, 1.163, 0.037, 1.166
0101ML0004910030103022C00_DXXX, 101.6843, 208.9, 1.192, 0.036, 1.216
0111ML0006890030103664C00_DXXX, 111.5748, 215.2, 1.194, 0.037, 1.203
0111ML0006900030103667C00_DXXX, 111.6374, 215.2, 1.199, 0.037, 1.216
0119ML0007380030103762C00_DXXX, 119.4962, 220.2, 1.080, 0.037, 1.080
0119ML0007390030103764C00_DXXX, 119.6497, 220.3, 1.085, 0.037, 1.103
0122ML0007610030103881C00_DXXX, 122.4957, 222.1, 1.111, 0.037, 1.111
0122ML0007630030103890C00_DXXX, 122.6820, 222.2, 1.077, 0.036, 1.100
0129ML0007910030103951C00_DXXX, 129.5226, 226.6, 1.234, 0.037, 1.237
0129ML0007920030103956C00_DXXX, 129.7140, 226.7, 1.206, 0.048, 1.229
0134ML0008150030104001C00_DXXX, 134.4919, 229.8, 1.151, 0.037, 1.150
0134ML0008160030104003C00_DXXX, 134.7067, 229.9, 1.128, 0.038, 1.151
0147ML0008320030104410C00_DXXX, 147.4873, 238.2, 1.062, 0.037, 1.061
0147ML0008330030104422C00_DXXX, 147.6565, 238.3, 1.051, 0.036, 1.071
0153ML0008300030104454C00_DXXX, 153.5420, 242.1, 1.102, 0.037, 1.108
0153ML0008310030104456C00_DXXX, 153.6409, 242.2, 1.107, 0.036, 1.124
0157ML0008570030104527C00_DXXX, 157.5417, 244.7, 1.071, 0.037, 1.077
0157ML0008580030104536C00_DXXX, 157.6777, 244.8, 1.049, 0.036, 1.071
0162ML0003200030104588C00_DXXX, 162.6863, 248.1, 1.050, 0.036, 1.073
0168ML0009040030104661C00_DXXX, 168.6433, 252.0, 1.153, 0.036, 1.171
